Event,Days,Site,Reef,Array,Subs,Tag,Position,Sed 1,Sed 2,Sed 3,Sed 4,Sed 5,Sed 6
3 Month,90,JA6,Nearshore,X17,High,931,4,2,1,1,1,0,0
3 Month,90,JA6,Nearshore,X17,Low,914,2,1,3,3,4,4,1
3 Month,90,JA6,Nearshore,X17,Low,914,4,4,6,1,3,4,3
3 Month,90,JA6,Nearshore,X17,Low,423,2,3,1,2,3,3,1
3 Month,90,JA6,Nearshore,X17,Low,423,4,0,3,2,1,3,0
3 Month,90,JA6,Nearshore,X17,High,455,2,2,2,1,1,1,1
3 Month,90,JA6,Nearshore,X17,High,455,4,1,1,1,0,0,0
3 Month,90,JA6,Nearshore,X17,Low,933,2,3,1,0,0,0,0
3 Month,90,JA6,Nearshore,X17,Low,933,4,4,4,2,1,0,0
3 Month,90,JA6,Nearshore,G24,High,49,2,0,0,0,0,1,1
3 Month,90,JA6,Nearshore,G24,High,49,4,1,1,1,1,1,1
3 Month,90,JA6,Nearshore,G24,Low,57,2,4,6,3,4,5,6
3 Month,90,JA6,Nearshore,G24,Low,57,4,6,3,5,3,6,3
3 Month,90,JA6,Nearshore,G24,Low,58,2,3,4,2,2,2,2
3 Month,90,JA6,Nearshore,G24,Low,58,4,3,6,3,5,6,4
3 Month,90,JA6,Nearshore,G24,Low,66,2,3,3,4,1,3,4
3 Month,90,JA6,Nearshore,G24,Low,66,4,1,4,3,6,1,1
3 Month,90,JA6,Nearshore,G24,High,48,2,1,1,3,0,0,2
3 Month,90,JA6,Nearshore,G24,High,48,4,3,3,0,2,4,0
3 Month,90,JA6,Nearshore,G24,Low,50,2,4,3,0,0,1,4
3 Month,90,JA6,Nearshore,G24,Low,50,4,4,3,1,3,5,2
3 Month,90,JA6,Nearshore,G24,Low,1071,2,4,4,4,1,4,0
3 Month,90,JA6,Nearshore,G24,Low,1083,2,2,3,3,3,4,4
3 Month,90,JA6,Nearshore,G24,Low,1083,4,6,3,4,3,5,4
3 Month,90,JA6,Nearshore,G24,High,923,2,3,4,1,1,2,2
3 Month,90,JA6,Nearshore,G24,High,923,4,0,0,0,0,2,2
3 Month,90,JA6,Nearshore,G24,High,65,2,3,3,3,3,4,2
3 Month,90,JA6,Nearshore,G24,High,65,4,4,3,3,1,3,3
3 Month,90,JA6,Nearshore,G24,High,60,2,3,2,1,1,2,4
3 Month,90,JA6,Nearshore,G24,High,60,4,5,1,1,1,1,3
3 Month,90,JA6,Nearshore,G24,High,59,2,4,2,2,4,1,0
3 Month,90,JA6,Nearshore,G24,High,59,4,1,1,1,1,1,2
3 Month,90,Clip,Artificial Reef,CI2,Low,891,2,3,4,2,4,2,2
3 Month,90,Clip,Artificial Reef,CI2,Low,891,4,2,3,1,1,3,2
3 Month,90,Clip,Artificial Reef,CI2,Low,852,2,1,1,1,1,1,1
3 Month,90,Clip,Artificial Reef,CI2,Low,852,4,0,0,2,5,0,4
3 Month,90,Clip,Artificial Reef,CI2,Low,863,2,4,5,3,5,3,1
3 Month,90,Clip,Artificial Reef,CI2,Low,863,4,3,2,2,2,2,2
3 Month,90,Clip,Artificial Reef,CI2,Low,864,2,5,5,2,5,1,3
3 Month,90,Clip,Artificial Reef,CI2,Low,864,4,3,3,1,3,1,3
3 Month,90,Clip,Artificial Reef,CI2,Low,860,2,2,1,1,0,0,0
3 Month,90,Clip,Artificial Reef,CI2,Low,860,4,3,2,3,1,1,2
3 Month,90,Clip,Artificial Reef,CI2,Low,892,2,4,3,1,0,3,1
3 Month,90,Clip,Artificial Reef,CI2,Low,892,4,2,1,1,1,0,0
3 Month,90,Clip,Artificial Reef,CI2,Low,893,2,1,1,0,0,0,0
3 Month,90,Clip,Artificial Reef,CI2,Low,893,4,3,1,3,3,1,1
3 Month,90,Clip,Artificial Reef,CI2,Low,1181,2,4,3,3,2,1,1
3 Month,90,Clip,Artificial Reef,CI2,Low,1181,4,1,1,1,4,3,4
3 Month,90,Clip,Artificial Reef,XC8,High,871,2,1,1,1,1,1,1
3 Month,90,Clip,Artificial Reef,XC8,High,871,4,1,1,1,2,1,1
3 Month,90,Clip,Artificial Reef,XC8,High,882,2,1,1,3,2,3,4
3 Month,90,Clip,Artificial Reef,XC8,High,882,4,1,1,1,3,3,2
3 Month,90,Clip,Artificial Reef,XC8,High,861,2,3,1,2,3,3,1
3 Month,90,Clip,Artificial Reef,XC8,High,861,4,2,1,1,1,1,1
3 Month,90,Clip,Artificial Reef,XC8,High,881,2,2,5,2,2,4,1
3 Month,90,Clip,Artificial Reef,XC8,High,881,4,3,2,1,3,5,2
3 Month,90,Clip,Artificial Reef,XC8,High,872,2,0,0,0,1,1,0
